Organization,OrgURL,VolunteerListing,Region,County,City,About,Stewardship,Education,Citizen Science,Wildlife,Plants,Birds,Land Use,latitude,longitude
Lake Superior National Estuarine Research Reserve,https://folsr.org,https://folsr.org/volunteer,Northeast,MARQUETTE,Ozaukee,"We are recruiting volunteers and community scientists to help us with the Neighborhood Habitat Improvement Project, which aims to improve residential areas for birds, pollinators, and water quality. 

Birdscape Botanist volunteers will learn native and nonnative plant species, and how to use standard forestry tools while surveying a 5-meter site surrounding one of our breeding bird boxes to determine if clutch size and survival rates are better in areas with more dense native woody vegetation.

Nesting Navigator volunteers help The Observatory monitor breeding bird activity at over 100 constructed bird boxes throughout Port Washington, WI once to twice a week.

Climate Catalysts volunteers will help in our newest initiative which aims to produce biochar from woody invasive species slash generated from various partners' habitat restoration projects. When paired with tree planting Biochar can sequester carbon, retain and slow release water to trees, and filtrate and absorb pollutants, including nutrients. Through these properties, it is a powerful tool to promote resiliency of trees to future climate extremes, to filter pollutants (especially nutrients), to reduce air pollution from woody debris burning, and to address climate change. Work would include gathering and preparing woody debris for kilns, assisting kiln tenders with loading, and testing methods to ""charge"" biochar with nutrients by soaking the char in overly nutrient-rich local waterways prior to using in planting.",False,True,False,False,False,False,False,,
Lakeview Community Library,,,Northeast,SHEBOYGAN,Sheboygan,Present an informational program to patrons/the public,False,False,False,False,False,False,False,43.7508284,-87.71453
Maywood Environmental Park,https://gomaywood.org,https://gomaywood.org/get-involved/volunteer/,Northeast,SHEBOYGAN,Sheboygan,"We are looking for volunteer birders to lead Saturday Morning Bird Walks at Maywood Environmental Park. Enthusiastic Maywood birders meet at 7:30am to identify resident and migrating birds at Maywood. This is a casual program and everyone looks for birds together, so while birding skills are a plus, you certainly don’t need to be an expert. Rather, the leader is responsible for greeting people as they arrive, keeping the group together, and ensuring that everyone has fun!",False,False,False,False,False,False,False,43.7508284,-87.71453
Mequon Nature Preserve,https://mequonnaturepreserve.org,https://mequonnaturepreserve.org/contact/volunteer,Northeast,MARQUETTE,Ozaukee,"Restoration Rangers is a volunteer program where volunteers assist MNP staff on a variety of land restoration work (invasive species removal, seed collection, native plant planting, monitoring, and mulching trails).",False,False,False,False,False,False,True,,
MIlwaukee Public Museum,https://www.mpm.edu/,,Southeast,WASHBURN,Sauk,"The Milwaukee Public Museum has partnered with the Aldo Leopold Foundation in Baraboo to host a Bioblitz on June 27-28, 2025. We are looking for surveyors to join us and help inventory species on the property. If you can put a name on it, we want to know about it! The event starts at 3 pm on the 27th (Friday) and runs till 3 pm on Saturday. You are welcome to join us for as much or as little of that time as you want, and can come and go as needed. Food & a t-shirt are provided. If you would like to survey, you can sign up here: https://forms.office.com/r/7rq2yTgAaY And if you have questions, please email Julia at colby@mpm.edu. The event is free and open to the public on Saturday, June 28th from 10-3; stop by and see what’s going on- and at 3pm we’ll report out about what we found!",True,True,False,False,False,False,False,,
Mirror Lake State Park,,,Southeast,WASHBURN,Sauk,"The park is looking for a Master Naturalist to help with an interpretive program or two on a Friday or Saturday night about owls or other subjects. Contact the park naturalist with questions or to share your interest. Lexi Leonard, alexis.leonard@wisconsin.gov.",False,True,False,False,False,False,False,,
Monona Grove Liberal Arts Charter for the 21st Century (MG21) -- Middle Campus,https://mg21.mononagrove.org/,,South,DANE,Madison,"As one of the Middle Campus (grades 6-8) teachers at MG21, I am planning for our upcoming ""Wilderness Week"" out in the Cottage Grove School Forest. We've been building our Outdoor Program for the past two years, and will be bringing the kids out to the woods for the third iteration of ""Wilderness Week"" in March this year. 

One of the areas that we've been doing some learning in lately is managing our forest more sustainably - including invasive species identification and management. Right now, we are looking for expert collaborators who would be interested in joining us out at the forest as a guest speaker/teacher, particularly on this topic.",False,False,False,False,False,False,False,43.2505472,-89.5015088
"Newport State Park, WI Department of Natural Resources",https://dnr.wisconsin.gov/topic/parks/newport,https://dnr.wisconsin.gov/topic/parks/volunteer,North,BAYFIELD,Outagamie,"Looking for someone who loves astronomy, star gazing, dark night skies and all things celestial who is willing to enthusiastically share their knowledge at Wisconsin's only dark sky park.",False,False,False,False,False,False,False,,
Northern Highland American Legion State Forest,https://dnr.wisconsin.gov/topic/StateForests/nhal,https://dnr.wisconsin.gov/topic/parks/volunteer,North,LANGLADE,Vilas,"We are looking for volunteers to conduct a presentation at our Nature Center. The audiance is normally a mix of ages, would prefer the program to deal with nature but open to any other ideas.",False,True,False,False,False,False,False,45.2486428,-89.3642462
Restoring Lands: A Wisconsin Land Trust (formerly OWLT & RRF),https://www.restoringlands.org,https://www.restoringlands.org/volunteer,Southeast,WASHINGTON,West Bend,"Restoring Lands offers a weekly Land Stewardship volunteer program with volunteer workdays in Ozaukee, Washington, or Milwaukee counties. Removing invasive species, planting trees, and other projects. 
Restoring Lands is also bringing back our Community Science wildlife monitoring program, including amphibian funnel trapping, egg mass surveys, snake board monitoring, or independently monitoring wildlife on our preserves through eBird or iNaturalist.",False,False,False,False,False,False,False,43.4252776,-88.1834277
"Rotary Botanical Gardens, Janesville, WI",https://rotarybotanicalgardens.org,https://rotarybotanicalgardens.org/volunteer/,South,ROCK,Janesville,"I am looking for people who would be interested in doing roaming style presentations in the Gardens on a variety of topics. This would be a drop-in style presentation combined with visitors' general admission ticket to the Garden. Presentations would last about an hour. I already have presenters booked for Monarch Migration, Medieval Gardening, Wild Edible and Poisonous Plants and Fascinating Moths and Butterflies. Thank you for your consideration.",False,True,False,False,False,False,False,42.6829765,-89.0226793
Schlitz Audubon Nature Center,https://www.schlitzaudubon.org,https://www.schlitzaudubon.org/get-involved/volunteer/,Southeast,MILWAUKEE,Milwaukee,"Looking for adult volunteers to canoe campers around our pond for summer camp. The Boys & Girls club summer camp joins Schlitz Audubon every summer for a fun, wild week of nature. We are looking for volunteers to canoe kids around our ""Mystery Lake."" Volunteers who are good with kids, canoes, and pond creature identification is requested.",True,True,False,False,False,False,False,43.0775181,-87.8812647
Southern Wisconsin Bird Alliance,https://swibirds.org,https://swibirds.org/volunteer,South,DANE,Madison,"The Bird Collision Corps is a Madison, WI-based citizen science project that works with volunteers who help study where bird collisions are happening in the Madison area. We have about 1/3 of our volunteer slots still open, in locations like UW-Madison, Madison College, Warner Park, and more. Volunteers document where birds hit windows and we work with site owners to treat their windows to minimize bird deaths. This program is making a difference for bird conservation in the area!",False,False,False,False,False,False,False,43.2505472,-89.5015088
The Prairie Enthusiasts,https://theprairieenthusiasts.org/about-us/our-chapters/find-your-chapter/,https://theprairieenthusiasts.org/get-involved/volunteer-with-tpe/,Wisconsin,All Counties,All Counties,"Come join one of the local The Prairie Enthusiasts chapters for a work day! Opportunities to work and learn include prescribed burning, invasive species removal, plant identification, seed collection, prairie plant ecology, and more. Tools and instruction are provided. Volunteer opportunities are chapter dependent, and are typically communicated via the listserv once you sign up. You can also contact the chair of your local chapter to obtain more information, or visit the events page on the website. https://theprairieenthusiasts.org/about-us/our-chapters/find-your-chapter/",False,False,False,False,False,False,False,,
Upham Woods Outdoor Learning Center,https://fyi.extension.wisc.edu/uphamwoods,https://fyi.extension.wisc.edu/uphamwoods/get-involved/volunteer-at-upham/,Northeast,WAUSHARA,Columbia,"Come support summer camp as an adult chaperone! Spend 4 days, 3 nights along the Wisconsin River as we create a safe and inclusive environment for all kids. Activities include hiking, canoeing, water ecology and more.",False,False,False,False,False,False,False,44.0340755,-89.2987781
Urban Ecology Center / UW-Milwaukee,https://www.urbanecologycenter.org,https://www.urbanecologycenter.org/volunteer,Southeast,MILWAUKEE,Milwaukee,"staff a table (with me - Chris Young) at UWM's Darwin Day to describe the Wisconsin Master Naturalist program for a public, drop-in audience",False,False,False,False,False,False,False,43.0775181,-87.8812647
US Forest Service,https://www.fs.usda.gov,https://www.fs.usda.gov/working-with-us/volunteers/opportunities,North,ASHLAND,Ashland,"The intention of this outreach is for 1-2 Master Naturalist volunteers to help with coverage at the front desk of the NGLVC. Volunteers would be expected to help with short lunch shift coverages for our staff (2-3 times per month, both weekday and Saturdays possible), as well as the *occasional 1/2 day back up when staff experience illness/take vacation etc. The Volunteer(s) would also be expected to help with outdoor education and interpretation, serving as help for field trip groups, special events, and would also be encouraged to develop and run their own interpretive programs or events. There may also be opportunity for hands on volunteer service in the field (such as trail work, gardening, invasive species removal etc.) with both Forest Service and other partners such as the USFWS.",False,False,False,False,False,False,False,46.5924023,-90.8839474
US Forest Service (Northern Great Lakes Visitor Center),https://nglvc.org,https://nglvc.org/support/,North,ASHLAND,Ashland,"The Chequamegon-Nicolet National Forest is seeking out two Volunteers to work part time at the David R. Obey Northern Great Lakes Visitor Center (NGLVC). Occasional work may include working with the following partners: U.S. Forest Service, U.S. Fish and Wildlife Service, National Park Service, Wisconsin Historical Society, University of Wisconsin-Madison Division of Extension, and the Friends of the Center Alliance, Ltd. Volunteers will be expected to assist Forest Service and partner staff in planning and leading a variety of interpretive and educational programs on topics such as the Great Lakes, Ecology, and Cultural/Regional history, etc. Volunteers will also help to staff our front desk and provide quality visitor center services such as maintaining the front desk, greeting visitors and acquainting them with the Center’s programs and facilities, providing information about events, programs and recreational opportunities in the community, answering questions, providing guides, maps and regional information. In addition, volunteers will also have the opportunity to participate in a variety of natural resources-based projects such as trail maintenance/rehabilitation, water quality testing, native planting, invasive species control, and more. Please reach out to Amanda Koval and Lauren Romstad for more information: Amanda.koval@usda.gov, Lauren.romstad@usda.gov",False,True,False,False,False,False,False,46.5924023,-90.8839474
"Water Action Volunteers, Wisconsin DNR",https://wateractionvolunteers.org,https://wateractionvolunteers.org/get-involved/become-a-volunteer/,Wisconsin,All Counties,All Counties,"Do you like being outside? Do you have a passion for protecting our shared natural resources? With a commitment of only a few hours per month, you can become a volunteer stream monitor with Water Action Volunteers (WAV).
Join a network of over 500 citizen scientist volunteers across the state
Have fun outside and connect with the natural world
Learn about water quality and aquatic life in your local stream
Collect valuable scientific data to inform stream management decisions",False,False,False,False,False,False,False,,
Waukesha County Parks,https://www.waukeshacounty.gov/parks-and-land-use/parks-and-recreation/parks-and-trails,https://www.waukeshacounty.gov/parks-and-land-use/parks-and-recreation/parks-and-trails/volunteer/,Southeast,WAUKESHA,Waukesha,"Volunteering with us is a great opportunity for individuals and groups to enjoy the outdoors while giving back to the community. Project needs vary depending on the time of year and on current projects going on in the Park System. Find volunteer opportunities here. If you would like to start the process to become a volunteer with Waukesha County Parks and Land Use as a teaching naturalist at Retzer, water monitor, citizen scientist, or as a land steward please visit this website.",False,False,False,False,False,False,False,43.0116784,-88.2314813
Waukesha Public Library,https://dnr.wisconsin.gov/topic/parks/mirrorlake,https://dnr.wisconsin.gov/topic/parks/volunteer,Southeast,WAUKESHA,Waukesha,"The Waukesha Public Library has some planting beds on both sides of the front entrance that desperately need some attention. Our maintenance department has cleaned out the beds and they are ready for a refresh. We are open to your suggestions, and we have staff willing to help! (To qualify for Master Naturalist hours, the planters or beds need to be a pollinator garden, native garden, or rain garden. Planters just for beautification, while valuable, would be most suited for Master Gardeners.)",False,False,False,False,False,False,False,43.0116784,-88.2314813
Wildcat Mountain State Park,https://dnr.wisconsin.gov/topic/parks/wildcat,https://dnr.wisconsin.gov/topic/parks/volunteer,South,IOWA,,Raptor Program,False,True,False,False,False,False,False,,
Welty Environmental Center,https://weltycenter.org/,,South,ROCK,,"Calling all anglers! Are you interested in teaching a new generation of fisherpeople? Join us at Beckman Mill Park in Beloit as we teach first and second grade students about fish adaptations and habitat requirements, and (of course) we will get our hands on some fish.",False,False,False,False,False,False,False,42.628104,-89.1036638
Whitefish Dunes State Park,https://dnr.wisconsin.gov/topic/parks/whitefish,https://dnr.wisconsin.gov/topic/parks/volunteer,South,IOWA,,"Come spend a day at Whitefish Dunes State Park for one of our public programs. Our programs are drop in style and usually run from 10-3pm (with flexibility). We will usually hold these programs on the beach or near our nature center. The majority of our audience is looking to go to the beach so this is a great opportunity to educate individuals who may have less knowledge of the Natural Resources! Our Naturalist is looking for experts to collaborate on the following programs:

Pollinators (Bumble Bee Brigade)
Bat Program (Calling all Bat Ambassadors!)
Beach Safety (We have bad rip currents and lots of swimmers at our beach!)",False,False,False,False,False,False,False,,
Wisconsin DNR,https://dnr.wisconsin.gov,https://dnr.wisconsin.gov/topic/parks/volunteer,Wisconsin,All Counties,All Counties,Greet visitors in Education Center in absence of staff naturalist. Assist with large education groups. Supervise fish games and activities at Spring and Fall open house events.,False,False,False,False,False,False,False,,
Wild Rose Fish Hatchery,https://dnr.wisconsin.gov/topic/Fishing/hatcheries/wildrose,,South,IOWA,,Raptor Program,True,True,False,False,False,False,False,,
Wisconsin DNR- Wildlife Managment,,,North,WOOD,,"This is an opportunity to lead a Natural Resources Foundation Field trip on Meadow Valley Wildlife Area alongside DNR's bureau of Wildlife Managment educational staff. This opportunity is meant to highlight the recreational opportunities available on these properties such as botanizing, birding, wildlife viewing, foraging, paddling, and hiking. There is ample opportunity for this field trip to be tailored to the leader's naturalist background knowledge. Please reach out and we can discuss details and dates!",False,False,False,False,False,False,False,44.4825495,-90.1389141
Wisconsin Natural Areas,https://dnr.wisconsin.gov/topic/StateNaturalAreas,https://dnr.wisconsin.gov/topic/StateNaturalAreas/volunteer,Wisconsin,All Counties,All Counties,"Help us care for some of our state's most pristine public lands, State Natural Areas (SNA). Encourage native plants and animals to thrive by cutting brush, controlling invasive species, collecting seeds, monitoring rare species and preparing fire breaks. Show up for a day or become a steward responsible for all volunteer activities at a SNA. Any level of participation is encouraged and no experience is necessary to start volunteering. Learn more at the DNR website.",True,False,False,False,False,False,False,,
Wisconsin State Parks,,,Wisconsin,All Counties,All Counties,"If you like to spend time in the outdoors, interact with and help other outdoor enthusiasts, and you care about protecting our natural resources, then the Wisconsin State Park System needs you! Volunteers are needed at state parks, forests, recreation areas, trails and scenic waters across the state.Volunteers may donate their time for what their schedule allows. Whether you're volunteering for a few hours at a property workday, or for a couple of weeks as a campground host, your service makes a world of difference. Check out the website for a current list of volunteer opportunities around the state with the Wisconsin State Park System.",True,False,False,False,False,False,False,,
Xerces Society,https://xerces.org,https://xerces.org/volunteer,Wisconsin,All Counties,All Counties,,False,False,True,False,False,False,False,,
Yellow River Protection Conservancy (YRPC),,,Southeast,BARRON,,,True,False,False,False,False,False,False,45.399912,-91.8511805
